Voti Fantacalcio 38ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6884,C,Conceicao,6.5,0,0,0,0,0,0,0,0,0
2841,A,Vlahovic,5.5,0,0,0,0,0,0,0,0,0
4179,A,Gonzalez N.,5.5,0,0,0,0,0,0,1,0,0
5951,A,Kolo Muani,7,1,0,0,0,0,0,0,0,0
6434,A,Yildiz,7.5,1,0,0,0,0,0,0,0,0
2729,ALL,Tudor,7,0,0,0,0,0,0,1,0,0
Lazio,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6482,P,Mandas,6,0,1,0,0,0,0,0,0,0
140,D,Hysaj,5.5,0,0,0,0,0,0,0,0,0
460,D,Romagnoli,5,0,0,0,0,0,0,0,1,0
2188,D,Marusic,5.5,0,0,0,0,0,0,0,0,0
2728,D,Pellegrini Lu.,6,0,0,0,0,0,0,0,0,0
5620,D,Tavares N.,6.5,0,0,0,0,0,0,0,0,0
5833,D,Gila,5,0,0,0,0,0,0,1,0,0
181,C,Vecino,6,0,0,0,0,0,0,0,0,0
632,C,Zaccagni,5.5,0,0,0,0,0,0,0,0,0
4186,C,Guendouzi,5.5,0,0,0,0,0,0,1,0,0
4459,C,Rovella,5.5,0,0,0,0,0,0,0,0,0
2489,A,Pedro,6.5,0,0,0,0,0,0,1,0,0
5672,A,Dia,5,0,0,0,0,0,0,0,0,0
6226,A,Castellanos,5,0,0,0,0,0,0,0,0,0
6398,A,Isaksen,6,0,0,0,0,0,0,0,0,0
6556,A,Noslin,5.5,0,0,0,0,0,0,0,0,0
2248,ALL,Baroni,5,0,0,0,0,0,0,0,0,0
Lecce,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2134,P,Falcone,7.5,0,0,0,0,0,0,1,0,0
4502,D,Gallo,6.5,0,0,0,0,0,0,0,0,0
5626,D,Guilbert,6,0,0,0,0,0,0,0,0,0
5835,D,Baschirotto,6.5,0,0,0,0,0,0,0,0,0
6632,D,Gaspar K.,7,0,0,0,0,0,0,0,0,0
6990,D,Veiga D.,6,0,0,0,0,0,0,0,0,0
5504,C,Coulibaly L.,7.5,1,0,0,0,0,0,0,0,0
5872,C,Helgason,6,0,0,0,0,0,0,0,0,0
6015,C,Berisha M.,6.5,0,0,0,0,0,0,0,0,0
6394,C,Ramadani,6.5,0,0,0,0,0,0,0,0,0
6410,C,Kaba,6,0,0,0,0,0,0,0,0,0
6459,C,Karlsson,5.5,0,0,0,0,0,0,0,0,0
6418,A,Burnete,6*,0,0,0,0,0,0,0,0,0
6435,A,Krstovic,6.5,0,0,0,0,0,0,0,0,1
6549,A,Pierotti,4.5,0,0,0,0,0,0,0,1,0
681,ALL,Giampaolo,7,0,0,0,0,0,0,0,0,0
Milan,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4312,P,Maignan,6.5,0,0,0,0,0,0,0,0,0
